Date/Time,Energy Produced (Wh)
2016-01-09 00:00:00 -0800,9898
2016-01-10 00:00:00 -0800,4115
2016-01-11 00:00:00 -0800,9550
2016-01-12 00:00:00 -0800,14105
2016-01-13 00:00:00 -0800,10467
2016-01-14 00:00:00 -0800,11959
2016-01-15 00:00:00 -0800,4938
2016-01-16 00:00:00 -0800,11514
2016-01-17 00:00:00 -0800,11327
2016-01-18 00:00:00 -0800,5961
2016-01-19 00:00:00 -0800,8112
2016-01-20 00:00:00 -0800,13365
2016-01-21 00:00:00 -0800,12032
2016-01-22 00:00:00 -0800,10028
2016-01-23 00:00:00 -0800,6680
2016-01-24 00:00:00 -0800,14134
2016-01-25 00:00:00 -0800,14382
2016-01-26 00:00:00 -0800,14786
2016-01-27 00:00:00 -0800,8922
2016-01-28 00:00:00 -0800,14319
2016-01-29 00:00:00 -0800,13249
2016-01-30 00:00:00 -0800,6642
2016-01-31 00:00:00 -0800,2761
2016-02-01 00:00:00 -0800,13677
2016-02-02 00:00:00 -0800,15187
2016-02-03 00:00:00 -0800,15212
2016-02-04 00:00:00 -0800,15222
2016-02-05 00:00:00 -0800,15123
2016-02-06 00:00:00 -0800,15209
2016-02-07 00:00:00 -0800,15249
2016-02-08 00:00:00 -0800,15092
2016-02-09 00:00:00 -0800,14932
2016-02-10 00:00:00 -0800,14478
2016-02-11 00:00:00 -0800,15331
2016-02-12 00:00:00 -0800,15146
2016-02-13 00:00:00 -0800,15268
2016-02-14 00:00:00 -0800,15649
2016-02-15 00:00:00 -0800,15244
2016-02-16 00:00:00 -0800,15521
2016-02-17 00:00:00 -0800,14309
2016-02-18 00:00:00 -0800,10287
2016-02-19 00:00:00 -0800,16873
2016-02-20 00:00:00 -0800,15945
2016-02-21 00:00:00 -0800,16729
2016-02-22 00:00:00 -0800,16709
2016-02-23 00:00:00 -0800,15560
2016-02-24 00:00:00 -0800,16923
2016-02-25 00:00:00 -0800,16801
2016-02-26 00:00:00 -0800,15056
2016-02-27 00:00:00 -0800,16774
2016-02-28 00:00:00 -0800,16068
2016-02-29 00:00:00 -0800,16338
2016-03-01 00:00:00 -0800,16454
2016-03-02 00:00:00 -0800,15676
2016-03-03 00:00:00 -0800,12304
2016-03-04 00:00:00 -0800,15055
2016-03-05 00:00:00 -0800,12633
2016-03-06 00:00:00 -0800,13453
2016-03-07 00:00:00 -0800,10741
2016-03-08 00:00:00 -0800,18442
2016-03-09 00:00:00 -0800,17585
2016-03-10 00:00:00 -0800,16356
2016-03-11 00:00:00 -0800,12173
2016-03-12 00:00:00 -0800,18223
2016-03-13 00:00:00 -0800,16551
2016-03-14 00:00:00 -0700,13417
2016-03-15 00:00:00 -0700,18550
2016-03-16 00:00:00 -0700,18334
2016-03-17 00:00:00 -0700,17883
2016-03-18 00:00:00 -0700,16056
2016-03-19 00:00:00 -0700,16939
2016-03-20 00:00:00 -0700,16713
2016-03-21 00:00:00 -0700,14603
2016-03-22 00:00:00 -0700,16997
2016-03-23 00:00:00 -0700,19216
2016-03-24 00:00:00 -0700,19025
2016-03-25 00:00:00 -0700,18821
2016-03-26 00:00:00 -0700,18897
2016-03-27 00:00:00 -0700,18241
2016-03-28 00:00:00 -0700,10364
2016-03-29 00:00:00 -0700,16638
2016-03-30 00:00:00 -0700,17835
